id,rumah_gadang_id,facility_id
DFC001,RG001,FC001
DFC002,RG001,FC002
DFC003,RG001,FC007
DFC004,RG001,FC008
DFC005,RG001,FC009
DFC006,RG001,FC010
DFC007,RG002,FC001
DFC008,RG002,FC002
DFC009,RG002,FC007
DFC010,RG002,FC008
DFC011,RG002,FC009
DFC012,RG003,FC001
DFC013,RG003,FC002
DFC014,RG003,FC007
DFC015,RG003,FC008
DFC016,RG003,FC009
DFC017,RG005,FC001
DFC018,RG005,FC002
DFC019,RG005,FC007
DFC020,RG005,FC008
DFC021,RG005,FC009
DFC022,RG004,FC007
DFC023,RG004,FC008
DFC024,RG006,FC007
DFC025,RG006,FC008
DFC026,RG007,FC007
DFC027,RG007,FC008
DFC028,RG008,FC007
DFC029,RG008,FC008
DFC030,RG009,FC007
DFC031,RG009,FC008
DFC032,RG010,FC007
DFC033,RG010,FC008
