souvenir_place_id,lat,lang,description
SP001,1.21015100,161.58120100,Assumenda expedita suscipit nulla ut voluptate fuga. Voluptatem officiis accusantium aliquam deleniti odio. Sit delectus in temporibus ut omnis. Hic assumenda nam rem non. Aliquid illo consectetur odit est ullam corporis. Animi cum culpa enim ad explicabo eveniet vero. Quia maxime nobis reiciendis odit. Et ea animi quas dolor earum. Aut facilis placeat ipsa sint reiciendis ad est.
SP002,20.73793000,91.40969300,Assumenda expedita suscipit nulla ut voluptate fuga. Voluptatem officiis accusantium aliquam deleniti odio. Sit delectus in temporibus ut omnis. Hic assumenda nam rem non. Aliquid illo consectetur odit est ullam corporis. Animi cum culpa enim ad explicabo eveniet vero. Quia maxime nobis reiciendis odit. Et ea animi quas dolor earum. Aut facilis placeat ipsa sint reiciendis ad est.
SP003,9.83485700,156.16773400,Assumenda expedita suscipit nulla ut voluptate fuga. Voluptatem officiis accusantium aliquam deleniti odio. Sit delectus in temporibus ut omnis. Hic assumenda nam rem non. Aliquid illo consectetur odit est ullam corporis. Animi cum culpa enim ad explicabo eveniet vero. Quia maxime nobis reiciendis odit. Et ea animi quas dolor earum. Aut facilis placeat ipsa sint reiciendis ad est.
SP004,49.67391900,117.31338500,Assumenda expedita suscipit nulla ut voluptate fuga. Voluptatem officiis accusantium aliquam deleniti odio. Sit delectus in temporibus ut omnis. Hic assumenda nam rem non. Aliquid illo consectetur odit est ullam corporis. Animi cum culpa enim ad explicabo eveniet vero. Quia maxime nobis reiciendis odit. Et ea animi quas dolor earum. Aut facilis placeat ipsa sint reiciendis ad est.
SP005,18.27579800,0.00000000,Assumenda expedita suscipit nulla ut voluptate fuga. Voluptatem officiis accusantium aliquam deleniti odio. Sit delectus in temporibus ut omnis. Hic assumenda nam rem non. Aliquid illo consectetur odit est ullam corporis. Animi cum culpa enim ad explicabo eveniet vero. Quia maxime nobis reiciendis odit. Et ea animi quas dolor earum. Aut facilis placeat ipsa sint reiciendis ad est.
SP006,0.00000000,0.00000000,Assumenda expedita suscipit nulla ut voluptate fuga. Voluptatem officiis accusantium aliquam deleniti odio. Sit delectus in temporibus ut omnis. Hic assumenda nam rem non. Aliquid illo consectetur odit est ullam corporis. Animi cum culpa enim ad explicabo eveniet vero. Quia maxime nobis reiciendis odit. Et ea animi quas dolor earum. Aut facilis placeat ipsa sint reiciendis ad est.
SP007,64.05699900,136.93115700,Assumenda expedita suscipit nulla ut voluptate fuga. Voluptatem officiis accusantium aliquam deleniti odio. Sit delectus in temporibus ut omnis. Hic assumenda nam rem non. Aliquid illo consectetur odit est ullam corporis. Animi cum culpa enim ad explicabo eveniet vero. Quia maxime nobis reiciendis odit. Et ea animi quas dolor earum. Aut facilis placeat ipsa sint reiciendis ad est.
SP008,81.66008300,57.15596900,Assumenda expedita suscipit nulla ut voluptate fuga. Voluptatem officiis accusantium aliquam deleniti odio. Sit delectus in temporibus ut omnis. Hic assumenda nam rem non. Aliquid illo consectetur odit est ullam corporis. Animi cum culpa enim ad explicabo eveniet vero. Quia maxime nobis reiciendis odit. Et ea animi quas dolor earum. Aut facilis placeat ipsa sint reiciendis ad est.
SP009,84.85259500,102.89163600,Assumenda expedita suscipit nulla ut voluptate fuga. Voluptatem officiis accusantium aliquam deleniti odio. Sit delectus in temporibus ut omnis. Hic assumenda nam rem non. Aliquid illo consectetur odit est ullam corporis. Animi cum culpa enim ad explicabo eveniet vero. Quia maxime nobis reiciendis odit. Et ea animi quas dolor earum. Aut facilis placeat ipsa sint reiciendis ad est.
SP010,87.90632300,133.03349800,Assumenda expedita suscipit nulla ut voluptate fuga. Voluptatem officiis accusantium aliquam deleniti odio. Sit delectus in temporibus ut omnis. Hic assumenda nam rem non. Aliquid illo consectetur odit est ullam corporis. Animi cum culpa enim ad explicabo eveniet vero. Quia maxime nobis reiciendis odit. Et ea animi quas dolor earum. Aut facilis placeat ipsa sint reiciendis ad est.
