id,rumah_gadang_id,url
IMG0001,RG001,r1a.jpg
IMG0002,RG001,r1b.jpg
IMG0003,RG001,r1c.jpeg
IMG0004,RG001,r1d.jpeg
IMG0005,RG001,r1e.jpeg
IMG0006,RG001,r1f.jpeg
IMG0007,RG001,r1g.jpeg
IMG0008,RG002,r2a.jpg
IMG0009,RG002,r2b.jpg
IMG0010,RG002,r2c.jpg
IMG0011,RG002,r2d.jpeg
IMG0012,RG002,r2e.jpeg
IMG0013,RG002,r2f.jpeg
IMG0014,RG003,r3a.jpg
IMG0015,RG003,r3b.jpg
IMG0016,RG003,r3c.jpg
IMG0017,RG003,r3d.jpeg
IMG0018,RG003,r3e.jpeg
IMG0019,RG003,r3f.jpeg
IMG0020,RG004,r4a.jpeg
IMG0021,RG004,r4b.jpeg
IMG0022,RG004,r4c.jpeg
IMG0023,RG004,r4d.jpeg
IMG0024,RG005,r5a.jpeg
IMG0025,RG005,r5b.jpeg
IMG0026,RG005,r5c.jpeg
IMG0027,RG006,r6a.jpeg
IMG0028,RG006,r6b.jpeg
IMG0029,RG006,r6c.jpeg
IMG0030,RG006,r6d.jpeg
IMG0031,RG007,r7a.jpeg
IMG0032,RG007,r7b.jpeg
IMG0033,RG007,r7c.jpeg
IMG0034,RG008,r8a.jpeg
IMG0035,RG008,r8b.jpeg
IMG0036,RG008,r8c.jpeg
IMG0037,RG009,r9a.jpeg
IMG0038,RG009,r9b.jpeg
IMG0039,RG009,r9c.jpeg
IMG0040,RG009,r9d.jpeg
IMG0041,RG010,r10a.jpeg
IMG0042,RG010,r10b.jpeg
